City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Sao Miguel Do Araguaia,-13.275,-50.1628,92.75,13,2,2.95,BR,2022-07-30 20:08:17
287,Quelimane,-17.8786,36.8883,66.33,84,3,4.85,MZ,2022-07-30 20:08:17
288,Tabou,4.423,-7.3528,75.0,79,16,9.06,CI,2022-07-30 20:08:18
289,Puerto Leguizamo,-0.1934,-74.7819,82.78,71,26,0.94,CO,2022-07-30 20:08:18
290,Sal Rei,16.1833,-22.9167,77.34,77,100,9.91,CV,2022-07-30 20:08:19
291,Adre,13.4667,22.2,76.86,72,91,7.07,TD,2022-07-30 20:08:19
292,Gurupa,-1.405,-51.64,88.7,54,54,2.77,BR,2022-07-30 20:08:20
293,Praia,14.9215,-23.5087,79.34,69,75,10.36,CV,2022-07-30 20:08:20
294,Guerrero Negro,27.9769,-114.0611,82.33,46,81,10.89,MX,2022-07-30 20:08:21
295,Orlik,52.5178,99.825,52.09,83,100,3.74,RU,2022-07-30 20:08:21
296,Healdsburg,38.6105,-122.8692,99.3,56,40,4.61,US,2022-07-30 20:08:22
297,Hasaki,35.7333,140.8333,75.29,87,88,6.58,JP,2022-07-30 20:08:23
298,Prieska,-29.6641,22.7474,48.15,59,10,6.98,ZA,2022-07-30 20:08:23
299,Arsenyev,44.1631,133.2733,69.21,97,82,2.89,RU,2022-07-30 20:08:23
300,Cap Malheureux,-19.9842,57.6142,70.47,68,52,11.01,MU,2022-07-30 20:08:24
301,Port Hedland,-20.3167,118.5667,60.85,67,22,5.75,AU,2022-07-30 20:08:25
302,Cabo San Lucas,22.8909,-109.9124,91.71,45,40,6.91,MX,2022-07-30 20:06:34
303,Tiksi,71.6872,128.8694,46.96,81,37,2.15,RU,2022-07-30 20:08:25
304,Chabahar,25.2919,60.643,81.73,83,99,3.42,IR,2022-07-30 20:05:15
305,Antofagasta,-23.65,-70.4,58.28,68,11,7.94,CL,2022-07-30 20:06:03
306,Grand Gaube,-20.0064,57.6608,70.38,68,51,11.01,MU,2022-07-30 20:08:27
307,Balkanabat,39.5108,54.3671,84.69,50,0,7.81,TM,2022-07-30 20:08:27
308,Leningradskiy,69.3833,178.4167,48.06,68,87,4.99,RU,2022-07-30 20:08:28
309,Thunder Bay,48.4001,-89.3168,77.5,43,9,8.5,CA,2022-07-30 20:08:29
310,Sinnamary,5.3833,-52.95,81.99,76,14,8.1,GF,2022-07-30 20:08:29
311,Makakilo City,21.3469,-158.0858,83.95,61,100,16.11,US,2022-07-30 20:08:30
312,Olinda,-8.0089,-34.8553,74.93,88,75,5.75,BR,2022-07-30 20:05:39
313,Cleethorpes,53.5605,-0.0323,70.05,83,100,8.9,GB,2022-07-30 20:08:30
314,Princeton,25.5384,-80.4089,90.0,69,20,17.27,US,2022-07-30 20:08:41
315,San Quintin,30.4833,-115.95,74.77,61,7,10.71,MX,2022-07-30 20:08:42
316,Salto,-31.3833,-57.9667,63.88,52,1,8.01,UY,2022-07-30 20:06:59
317,Morondava,-20.2833,44.2833,69.57,82,16,3.8,MG,2022-07-30 20:08:44
318,Saint-Philippe,-21.3585,55.7679,66.22,81,44,14.79,RE,2022-07-30 20:08:44
319,Biak,-0.9131,122.8766,74.32,89,84,5.08,ID,2022-07-30 20:08:45
320,Nekrasovskoye,57.6766,40.3657,57.09,88,0,2.24,RU,2022-07-30 20:08:45
321,Lillooet,50.6856,-121.942,98.24,16,10,0.92,CA,2022-07-30 20:08:47
322,Cururupu,-1.8283,-44.8683,82.9,68,91,5.39,BR,2022-07-30 20:08:47
323,Kalmunai,7.4167,81.8167,78.93,82,100,4.97,LK,2022-07-30 20:08:47
324,Ridgecrest,35.6225,-117.6709,100.02,24,0,8.05,US,2022-07-30 20:08:48
325,Samarkand,39.6542,66.9597,78.22,44,0,6.91,UZ,2022-07-30 20:08:48
326,Athabasca,54.7169,-113.2854,75.31,49,11,10.2,CA,2022-07-30 20:08:49
327,Berea,41.3662,-81.8543,82.76,57,20,9.22,US,2022-07-30 20:08:49
328,Ponta Do Sol,32.6667,-17.1,74.71,81,8,7.49,PT,2022-07-30 20:08:50
329,Aden,12.7794,45.0367,84.54,74,7,9.42,YE,2022-07-30 20:08:50
330,Severo-Yeniseyskiy,60.3725,93.0408,59.86,96,11,2.06,RU,2022-07-30 20:08:51
331,Tabuk,17.4189,121.4443,74.08,89,100,2.75,PH,2022-07-30 20:08:51
332,Porbandar,21.6422,69.6093,81.16,80,49,12.15,IN,2022-07-30 20:08:51
333,Troitskoye,52.9821,84.6757,62.56,92,100,4.59,RU,2022-07-30 20:08:52
334,Kulhudhuffushi,6.6221,73.07,81.14,80,100,17.81,MV,2022-07-30 20:08:52
335,Vostok,46.4856,135.8833,64.4,99,100,3.85,RU,2022-07-30 20:08:53
336,Lagoa,39.05,-27.9833,73.54,66,0,0.09,PT,2022-07-30 20:08:53
337,Shibetsu,43.659,145.132,69.19,89,4,5.17,JP,2022-07-30 20:08:54
338,Fare,-16.7,-151.0167,78.94,69,1,24.07,PF,2022-07-30 20:08:54
339,Abha,18.2164,42.5053,66.45,83,0,0.0,SA,2022-07-30 20:08:55
340,Isugod,9.3408,118.1196,78.98,86,100,3.56,PH,2022-07-30 20:08:56
341,Ardakan,32.31,54.0175,90.12,28,0,5.99,IR,2022-07-30 20:08:56
342,Chateauroux,46.8167,1.7,78.8,47,0,4.61,FR,2022-07-30 20:08:38
343,Te Anau,-45.4167,167.7167,29.25,94,52,0.92,NZ,2022-07-30 20:08:57
344,Manggar,-2.8833,108.2667,78.69,85,99,5.26,ID,2022-07-30 20:07:20
345,Cairns,-16.9167,145.7667,69.75,83,100,12.66,AU,2022-07-30 20:08:58
346,Souillac,-20.5167,57.5167,70.18,73,40,18.41,MU,2022-07-30 20:09:00
347,Esperance,-33.8667,121.9,47.53,78,74,19.28,AU,2022-07-30 20:09:02
348,Ajdabiya,30.7554,20.2263,82.0,68,0,17.25,LY,2022-07-30 20:09:02
349,Amot,59.5714,7.9877,59.76,75,100,4.88,NO,2022-07-30 20:09:03
350,Bismarck,46.8083,-100.7837,93.65,38,0,12.66,US,2022-07-30 20:09:03
351,Elat,29.5581,34.9482,87.46,37,39,12.46,IL,2022-07-30 20:09:04
352,Palana,59.1167,159.9667,50.58,76,100,4.52,RU,2022-07-30 20:09:04
353,Havoysund,70.9963,24.6622,52.03,82,100,16.71,NO,2022-07-30 20:09:06
354,Laguna De Perlas,12.3429,-83.6712,80.37,87,100,13.8,NI,2022-07-30 20:09:06
355,Eureka,40.8021,-124.1637,68.25,76,60,5.01,US,2022-07-30 20:07:01
